idSolicitud,idAgente,idUsuario,FechaCreacion,FechaResolucion,Categoria,SubCategoria,idModo,idModulo,ValorEncuesta
15762,694,616,"2018-09-19 05:23:43",NULL,"Soporte Externo",Error,10,66,0
16793,17,664,"2019-04-03 03:44:57",NULL,"Tareas Internas","Soporte Técnico interno",8,80,0
16937,694,616,"2019-05-14 01:41:41",NULL,"Soporte Externo",Consulta,10,76,100
17183,694,616,"2019-07-12 04:56:19",NULL,"Soporte Externo",Consulta,10,64,0
17587,17,561,"2019-10-14 22:09:20",NULL,"Soporte Externo",Consulta,10,68,0
17766,694,548,"2019-11-22 23:18:30",NULL,"Soporte Externo",Consulta,10,67,0
17780,694,584,"2019-11-26 06:48:27",NULL,"Soporte Externo",Consulta,10,73,0
17793,694,549,"2019-11-29 00:32:16",NULL,"Soporte Externo",Consulta,10,64,0
17804,694,509,"2019-11-30 04:48:30",NULL,"Soporte Externo",Error,8,63,0
17867,694,626,"2019-12-14 23:41:18",NULL,"Soporte Externo",Error,10,79,0
17871,664,550,"2019-12-16 23:08:23",NULL,"Soporte Externo",Consulta,10,66,0
17873,64,526,"2019-12-17 00:55:58",NULL,"Soporte Externo",Error,10,79,0
17883,105,544,"2019-12-19 01:42:49",NULL,"Soporte Externo",Error,10,71,0
17906,105,518,"2020-01-02 23:57:51",NULL,"Soporte Externo",Error,10,64,0
17907,694,512,"2020-01-03 00:24:50",NULL,"Soporte Externo",Consulta,9,64,0
17908,694,510,"2020-01-03 01:17:50",NULL,"Soporte Externo",Consulta,9,64,0
17909,694,511,"2020-01-03 01:50:12",NULL,"Soporte Externo",Consulta,9,64,0
17910,105,516,"2020-01-03 04:13:19",NULL,"Soporte Externo",Error,9,63,0
17911,105,513,"2020-01-03 04:16:54",NULL,"Soporte Externo","Candados o PDA",9,65,0
17912,105,514,"2020-01-03 04:28:20",NULL,"Soporte Externo",Capacitación,9,64,0
17913,105,515,"2020-01-03 04:42:08",NULL,"Soporte Externo",Capacitación,9,64,0
17914,694,517,"2020-01-03 04:58:08",NULL,"Soporte Externo",Consulta,9,64,0
17915,694,519,"2020-01-03 05:46:50",NULL,"Soporte Externo",Consulta,9,66,0
17916,105,520,"2020-01-03 05:53:44",NULL,"Soporte Externo",Capacitación,9,67,0
17917,694,521,"2020-01-03 05:55:47",NULL,"Soporte Externo",Consulta,9,67,0
17918,105,523,"2020-01-03 06:04:39",NULL,"Soporte Externo",Error,9,65,0
17919,694,522,"2020-01-03 06:05:24",NULL,"Soporte Externo",Consulta,9,64,0
17920,664,528,"2020-01-03 06:16:00",NULL,"Soporte Externo",Error,10,66,0
17921,105,524,"2020-01-03 06:19:30",NULL,"Tareas Internas","Revisión de Servicios",9,65,0
17923,694,525,"2020-01-03 06:31:06",NULL,"Soporte Externo",Consulta,9,68,0
17924,694,526,"2020-01-03 06:33:28",NULL,"Soporte Externo",Error,10,67,0
17925,694,522,"2020-01-03 06:53:33",NULL,"Soporte Externo",Consulta,9,64,0
17926,694,527,"2020-01-03 21:45:39",NULL,"Soporte Externo",Consulta,9,64,0
17927,694,529,"2020-01-03 22:04:43",NULL,"Soporte Externo",Consulta,9,69,0
17928,105,531,"2020-01-03 22:10:09",NULL,"Soporte Externo","Base de datos (firebird)",10,65,0
17929,694,530,"2020-01-03 22:18:27",NULL,"Soporte Externo",Consulta,9,70,0
17930,694,532,"2020-01-03 22:26:25",NULL,"Soporte Externo",Consulta,9,66,0
17931,105,533,"2020-01-03 22:35:19",NULL,"Soporte Externo",Capacitación,9,65,0
17932,105,534,"2020-01-03 22:48:19",NULL,"Soporte Externo",Error,9,64,0
17933,694,520,"2020-01-03 22:50:03",NULL,"Soporte Externo",Configuración,9,67,0
17935,105,535,"2020-01-03 23:15:47",NULL,"Soporte Externo",Configuración,9,64,0
17938,105,520,"2020-01-04 00:54:38",NULL,"Soporte Externo",Configuración,9,67,0
17939,105,536,"2020-01-04 01:00:04",NULL,"Soporte Externo",Configuración,9,65,0
17941,105,537,"2020-01-04 01:14:52",NULL,"Soporte Externo",Configuración,9,66,0
17942,105,538,"2020-01-04 01:21:19",NULL,"Soporte Externo",Capacitación,9,64,0
17943,105,530,"2020-01-04 01:31:44",NULL,"Soporte Externo",Capacitación,9,64,0
17944,694,521,"2020-01-04 01:45:39",NULL,"Soporte Externo",Error,10,64,0
17946,105,539,"2020-01-04 02:08:56",NULL,"Soporte Externo","Base de datos (firebird)",9,69,51
17947,105,540,"2020-01-04 04:16:03",NULL,"Soporte Externo",Actualización,9,64,0
17949,694,519,"2020-01-04 04:50:09",NULL,"Soporte Externo",Consulta,9,71,0
17951,694,521,"2020-01-04 05:01:52",NULL,"Soporte Externo",Consulta,9,64,0
17952,105,522,"2020-01-04 05:02:53",NULL,"Soporte Externo",Capacitación,9,66,0
17953,105,541,"2020-01-04 05:15:49",NULL,"Soporte Externo",Configuración,9,63,0
17954,105,521,"2020-01-04 05:28:43",NULL,"Soporte Externo",Capacitación,9,64,0
17955,105,530,"2020-01-04 05:50:07",NULL,"Soporte Externo",Capacitación,9,65,0
17956,694,542,"2020-01-04 05:51:49",NULL,"Soporte Externo",Consulta,9,71,0
17957,105,539,"2020-01-04 06:19:40",NULL,"Soporte Externo","Base de datos (firebird)",9,65,0
17959,105,543,"2020-01-06 22:20:39",NULL,"Soporte Externo",Capacitación,9,69,0
17961,105,544,"2020-01-06 23:55:41",NULL,"Soporte Externo",Error,9,64,0
17962,105,535,"2020-01-07 00:05:13",NULL,"Soporte Externo",Capacitación,9,64,0
17963,694,533,"2020-01-07 00:25:17",NULL,"Soporte Externo",Consulta,9,63,0
17966,105,545,"2020-01-07 01:56:40",NULL,"Soporte Externo",Capacitación,9,64,0
17969,694,537,"2020-01-07 04:41:05",NULL,"Soporte Externo",Consulta,9,66,0
17972,105,531,"2020-01-07 05:29:50",NULL,"Soporte Externo",Capacitación,9,72,0
17973,694,542,"2020-01-07 05:44:08",NULL,"Soporte Externo",Consulta,9,66,0
17977,694,546,"2020-01-07 06:48:56",NULL,"Soporte Externo",Consulta,10,64,0
17978,694,547,"2020-01-07 22:10:42",NULL,"Soporte Externo",Consulta,9,63,0
17979,105,548,"2020-01-07 22:46:21",NULL,"Soporte Externo",Capacitación,9,69,0
17980,694,551,"2020-01-08 01:45:06",NULL,"Soporte Externo",Consulta,9,67,0
17982,105,552,"2020-01-08 04:16:27",NULL,"Soporte Externo",Capacitación,9,71,0
17983,694,525,"2020-01-08 04:45:21",NULL,"Soporte Externo","Candados o PDA",9,65,0
17985,105,513,"2020-01-08 05:19:08",NULL,"Soporte Externo",Capacitación,9,65,0
17987,105,531,"2020-01-08 05:42:01",NULL,"Soporte Externo","Base de datos (firebird)",9,65,0
17990,105,553,"2020-01-08 21:27:13",NULL,"Soporte Externo",Capacitación,9,64,0
17992,694,554,"2020-01-09 01:51:52",NULL,"Tareas Internas","Capacitación a soporte",9,65,0
17993,694,555,"2020-01-09 04:54:55",NULL,"Soporte Externo","Candados o PDA",9,65,0
17994,694,556,"2020-01-09 05:21:01",NULL,"Soporte Externo",Consulta,9,66,0
17995,694,557,"2020-01-09 05:25:16",NULL,"Soporte Externo",Consulta,9,64,0
17996,694,522,"2020-01-09 05:47:22",NULL,"Soporte Externo",Consulta,9,73,0
17997,694,558,"2020-01-09 06:46:48",NULL,"Soporte Externo",Consulta,9,74,0
17998,694,559,"2020-01-09 21:48:05",NULL,"Soporte Externo","Candados o PDA",9,65,0
17999,105,530,"2020-01-09 21:50:00",NULL,"Soporte Externo","Base de datos (firebird)",9,64,0
18001,694,554,"2020-01-10 00:07:23",NULL,"Tareas Internas","Capacitación a soporte",9,65,0
18002,105,538,"2020-01-10 00:08:02",NULL,"Soporte Externo",Capacitación,9,64,0
18003,694,530,"2020-01-10 00:19:03",NULL,"Soporte Externo",Consulta,9,64,0
18005,694,525,"2020-01-10 00:26:43",NULL,"Soporte Externo",Consulta,9,65,0
18007,694,557,"2020-01-10 00:39:59",NULL,"Soporte Externo",Consulta,9,64,0
18009,694,530,"2020-01-10 01:59:18",NULL,"Soporte Externo",Consulta,9,64,0
18010,105,560,"2020-01-10 04:15:11",NULL,"Soporte Externo",Capacitación,9,71,0
18011,105,561,"2020-01-10 04:51:26",NULL,"Soporte Externo",Capacitación,9,65,0
18012,105,539,"2020-01-10 05:01:34",NULL,"Soporte Externo","Base de datos (firebird)",8,68,0
18013,694,509,"2020-01-10 05:44:46",NULL,"Soporte Externo",Consulta,8,63,0
18014,694,562,"2020-01-10 05:59:35",NULL,"Soporte Externo",Consulta,9,64,0
18015,105,523,"2020-01-10 22:22:20",NULL,"Soporte Externo",Actualización,9,65,0
18016,105,563,"2020-01-11 00:11:14",NULL,"Soporte Externo",Capacitación,9,65,0
18017,105,537,"2020-01-11 00:12:23",NULL,"Soporte Externo","Base de datos (firebird)",9,65,0
18021,694,564,"2020-01-11 05:52:24",NULL,"Soporte Externo",Consulta,9,64,0
18023,694,565,"2020-01-11 06:31:50",NULL,"Soporte Externo",Consulta,9,66,0
18024,694,530,"2020-01-11 06:49:33",NULL,"Soporte Externo",Consulta,9,64,0
18026,105,522,"2020-01-13 21:34:24",NULL,"Soporte Externo",Capacitación,9,64,0
18027,694,546,"2020-01-13 22:14:35",NULL,"Soporte Externo",Consulta,9,66,0
18029,694,522,"2020-01-13 22:29:55",NULL,"Soporte Externo",Consulta,9,64,0
18030,105,522,"2020-01-13 22:44:42",NULL,"Soporte Externo",Capacitación,9,73,0
18031,694,509,"2020-01-13 23:03:40",NULL,"Soporte Externo",Error,8,66,0
18032,694,566,"2020-01-13 23:20:51",NULL,"Soporte Externo",Consulta,9,66,0
18033,105,567,"2020-01-13 23:24:27",NULL,"Soporte Externo",Configuración,9,64,0
18034,694,546,"2020-01-13 23:45:17",NULL,"Soporte Externo",Consulta,9,66,0
18035,105,563,"2020-01-14 00:05:41",NULL,"Soporte Externo",Capacitación,9,64,0
18036,694,513,"2020-01-14 00:30:43",NULL,"Soporte Externo",Actualización,9,68,0
18037,694,543,"2020-01-14 01:01:16",NULL,"Soporte Externo",Consulta,9,67,0
18038,694,530,"2020-01-14 01:54:49",NULL,"Soporte Externo",Consulta,9,66,0
18045,694,526,"2020-01-14 05:35:33",NULL,"Soporte Externo",Consulta,10,71,0
18046,694,568,"2020-01-14 05:35:39",NULL,"Soporte Externo",Error,9,75,0
18048,694,523,"2020-01-14 06:45:53",NULL,"Soporte Externo",Consulta,9,64,0
18049,105,556,"2020-01-14 06:57:58",NULL,"Soporte Externo",Capacitación,9,64,84
18050,694,538,"2020-01-14 07:00:34",NULL,"Soporte Externo","Candados o PDA",9,65,0
18052,694,569,"2020-01-14 22:54:24",NULL,"Soporte Externo",Consulta,9,71,0
18053,694,523,"2020-01-14 22:57:06",NULL,"Soporte Externo",Consulta,9,64,0
18055,694,554,"2020-01-14 23:09:12",NULL,"Tareas Internas","Capacitación a soporte",9,65,0
18058,694,512,"2020-01-15 00:21:37",NULL,"Soporte Externo",Consulta,9,64,0
18059,694,595,"2020-01-15 00:50:12",NULL,"Soporte Externo",Consulta,8,64,0
18061,694,562,"2020-01-15 01:40:52",NULL,"Soporte Externo",Consulta,9,65,0
18065,105,537,"2020-01-15 04:18:52",NULL,"Soporte Externo","Base de datos (firebird)",9,65,0
18066,694,513,"2020-01-15 04:31:40",NULL,"Soporte Externo","Candados o PDA",9,65,0
